"mes","qtyb","qtys","pos"
"January  ",83,63,313
"February ",94,74,245
"March    ",95,74,264
"April    ",207,83,301
"May      ",203,77,310
"July     ",182,92,300
"June     ",211,90,373
"August   ",157,79,249
