mes,qtyb,qtys,pos,trx,mto
01/01/24,83,63,313,149984,260511294.4
01/02/24,94,74,245,196476,311181940.6
01/03/24,95,74,264,253501,327624056.8
01/04/24,207,83,301,238595,298681848.1
01/05/24,203,77,310,308199,376325536.3
01/06/24,211,90,373,277029,359858257.5
01/07/24,182,92,300,264856,331414354.1
01/08/24,164,85,266,116965,136645515
01/09/24,138,74,207,63074,87006665.84
